,id,Category,name,pluralName,shortName
0,56aa371be4b08b9a8d5734db,Arts & Entertainment,Amphitheater,Amphitheaters,Amphitheater
1,4fceea171983d5d06c3e9823,Arts & Entertainment,Aquarium,Aquariums,Aquarium
2,4bf58dd8d48988d1e1931735,Arts & Entertainment,Arcade,Arcades,Arcade
3,4bf58dd8d48988d1e2931735,Arts & Entertainment,Art Gallery,Art Galleries,Art Gallery
4,4bf58dd8d48988d1e4931735,Arts & Entertainment,Bowling Alley,Bowling Alleys,Bowling Alley
5,4bf58dd8d48988d17c941735,Arts & Entertainment,Casino,Casinos,Casino
6,52e81612bcbc57f1066b79e7,Arts & Entertainment,Circus,Circuses,Circus
7,4bf58dd8d48988d18e941735,Arts & Entertainment,Comedy Club,Comedy Clubs,Comedy Club
8,5032792091d4c4b30a586d5c,Arts & Entertainment,Concert Hall,Concert Halls,Concert Hall
9,52e81612bcbc57f1066b79ef,Arts & Entertainment,Country Dance Club,Country Dance Clubs,Country Dance Club
10,52e81612bcbc57f1066b79e8,Arts & Entertainment,Disc Golf,Disc Golf Courses,Disc Golf
11,56aa371be4b08b9a8d573532,Arts & Entertainment,Exhibit,Exhibits,Exhibit
12,4bf58dd8d48988d1f1931735,Arts & Entertainment,General Entertainment,General Entertainment,Entertainment
13,52e81612bcbc57f1066b79ea,Arts & Entertainment,Go Kart Track,Go Kart Tracks,Go Kart
14,4deefb944765f83613cdba6e,Arts & Entertainment,Historic Site,Historic Sites,Historic Site
15,52e81612bcbc57f1066b79e6,Arts & Entertainment,Laser Tag,Laser Tag Places,Laser Tag
16,5642206c498e4bfca532186c,Arts & Entertainment,Memorial Site,Memorial Sites,Memorial Site
17,52e81612bcbc57f1066b79eb,Arts & Entertainment,Mini Golf,Mini Golf Courses,Mini Golf
18,4bf58dd8d48988d17f941735,Arts & Entertainment,Movie Theater,Movie Theaters,Movie Theater
19,4bf58dd8d48988d181941735,Arts & Entertainment,Museum,Museums,Museum
20,4bf58dd8d48988d1e5931735,Arts & Entertainment,Music Venue,Music Venues,Music Venue
21,4bf58dd8d48988d1f2931735,Arts & Entertainment,Performing Arts Venue,Performing Arts Venues,Performing Arts
22,4bf58dd8d48988d1e3931735,Arts & Entertainment,Pool Hall,Pool Halls,Billiards
23,507c8c4091d498d9fc8c67a9,Arts & Entertainment,Public Art,Public Art,Public Art
24,56aa371be4b08b9a8d573514,Arts & Entertainment,Racecourse,Racecourses,Racecourse
25,4bf58dd8d48988d1f4931735,Arts & Entertainment,Racetrack,Racetracks,Racetrack
26,52e81612bcbc57f1066b79e9,Arts & Entertainment,Roller Rink,Roller Rinks,Roller Rink
27,52e81612bcbc57f1066b79ec,Arts & Entertainment,Salsa Club,Salsa Clubs,Salsa Club
28,4bf58dd8d48988d184941735,Arts & Entertainment,Stadium,Stadiums,Stadium
29,4bf58dd8d48988d182941735,Arts & Entertainment,Theme Park,Theme Parks,Theme Park
30,56aa371be4b08b9a8d573520,Arts & Entertainment,Tour Provider,Tour Providers,Tour Provider
31,4bf58dd8d48988d193941735,Arts & Entertainment,Water Park,Water Parks,Water Park
32,4bf58dd8d48988d17b941735,Arts & Entertainment,Zoo,Zoos,Zoo
0,4bf58dd8d48988d198941735,College & University,College Academic Building,College Academic Buildings,Academic Building
1,4bf58dd8d48988d197941735,College & University,College Administrative Building,College Administrative Buildings,Administrative Building
2,4bf58dd8d48988d1af941735,College & University,College Auditorium,College Auditoriums,Auditorium
3,4bf58dd8d48988d1b1941735,College & University,College Bookstore,College Bookstores,College Bookstore
4,4bf58dd8d48988d1a1941735,College & University,College Cafeteria,College Cafeterias,Cafeteria
5,4bf58dd8d48988d1a0941735,College & University,College Classroom,College Classrooms,Classroom
6,4bf58dd8d48988d1b2941735,College & University,College Gym,College Gyms,Gym
7,4bf58dd8d48988d1a5941735,College & University,College Lab,College Labs,Lab
8,4bf58dd8d48988d1a7941735,College & University,College Library,College Libraries,Library
9,4bf58dd8d48988d1aa941735,College & University,College Quad,College Quads,Quad
10,4bf58dd8d48988d1a9941735,College & University,College Rec Center,College Rec Centers,Rec Center
11,4bf58dd8d48988d1a3941735,College & University,College Residence Hall,College Residence Halls,Residence Hall
12,4bf58dd8d48988d1b4941735,College & University,College Stadium,College Stadiums,Stadium
13,4bf58dd8d48988d1ac941735,College & University,College Theater,College Theaters,Theater
14,4bf58dd8d48988d1a2941735,College & University,Community College,Community Colleges,Community College
15,4bf58dd8d48988d1b0941735,College & University,Fraternity House,Fraternity Houses,Frat House
16,4bf58dd8d48988d1a8941735,College & University,General College & University,General Colleges & Universities,Education
17,4bf58dd8d48988d1a6941735,College & University,Law School,Law Schools,Law School
18,4bf58dd8d48988d1b3941735,College & University,Medical School,Medical Schools,Medical School
19,4bf58dd8d48988d141941735,College & University,Sorority House,Sorority Houses,Sorority House
20,4bf58dd8d48988d1ab941735,College & University,Student Center,Student Centers,Student Center
21,4bf58dd8d48988d1ad941735,College & University,Trade School,Trade Schools,Trade School
